"$25,000 Budget",Total Hours,
,207.75,
PLANNING,HOURS,NOTES
,30,
Pre-KO,1.5,
Research/Prep,1.5,
KO call,2,
Scripting 01 + Verbal Beats,4,
CD Handoffs,2.5,
Beats 01 / Mood Boards ,6,
Story Plan 01,0.5,
Story Plan 01 Review Call,0.5,
Scripting 02 + Verbal Beats,2,
Story Plan Meeting 02,,
Beats 02,6,
Story Plan 02,0.5,
Story Plan 02 Review Call,0.5,
Budget + Timeline Meeting ,1,
Account Management - Planning,1,
Art Direction - Planning,,
Resource Coordination - Planning,0.5,
PRE-PRODUCTION,HOURS,
,27.25,
Scripting 03,0.5,
CD Handoffs,3,
Beats 03,2,
Style 01,8,
VO Casting,0.25,
Production Plan 01,0.5,
Production Plan 01 Review Call,0.5,
Story Plan Meeting 04,1,
Beats 04,1,
Style 02,3,
Production Plan 02,0.5,
Production Plan 02 Review Call ,0.5,
Story Plan Meeting 05,1,
Beats 05,1,
Style 03,1,
Production Plan 03,0.5,
Production Plan 03 Review Call ,0.5,
Budget + Timeline Meeting ,0.5,
Account Management - PreProduction,2,
Art Direction - PreProduction,,
Resource Coordination - PreProduction,0.5,
PRODUCTION,HOURS,
,15.5,
Production Meeting,4,
Estimated VO Cost,7,
Voiceover,1,
,,
Account Management - Production,2,
Full Draft 01 Delivery,0.5,
Animation 01 Review Call,0.5,
Full Draft 02 Delivery,0.5,
,,
,,
PRODUCTION HOUSE,HOURS,
,135,
Art Direction - Assets,3,
Art Direction - Animation,2,
Animation 01,94,
Music Composition 01,8,
Sound Design 01,4,
Animation 02,12,
Music Composition 02,1,
Sound Design 02,1,
PH Admin,7,
COMPANY MEETINGS,8,
