"$40,000 Budget",Total Hours,
,342.75,
PLANNING,HOURS,NOTES
,34,
Pre-KO,1.5,
Research/Prep,1,
KO call,2,
Scripting 01,2,
Story Plan Meeting 01,4,
Beats 01 / Mood Boards ,6,
Story Plan 01,0.5,
Story Plan 01 Review Call,0.5,
Scripting 02,1,
Story Plan Meeting 02,2,
Beats 02,8,
Story Plan 02,1,
Story Plan 02 Review Call,0.5,
Budget + Timeline Meeting ,1.5,
Account Management - Planning,2,
Art Direction - Planning,,
Resource Coordination - Planning,0.5,
PRE-PRODUCTION,HOURS,
,42.25,
Scripting 03,1,
Story Plan Meeting 03,2,
Beats 03,3,
Style 01,16,
VO Casting,0.25,
Production Plan 01,0.5,
Production Plan 01 Review Call,0.5,
Story Plan Meeting 04,0.5,
Beats 04,2,
Style 02,5,
Production Plan 02,0.5,
Production Plan 02 Review Call ,0.5,
Story Plan Meeting 05,1,
Beats 05,0.5,
Style 03,1,
Production Plan 03,0.5,
Production Plan 03 Review Call ,1,
Budget + Timeline Meeting ,1.5,
Account Management - PreProduction,3,
Art Direction - PreProduction,2,
Resource Coordination - PreProduction,0.5,
PRODUCTION,HOURS,
,24.5,
Production Meeting,5,
Estimated VO Cost,8,
Voiceover,1,
Art Direction - Production,6,
Account Management - Production,3,
Full Draft 01 Delivery,0.5,
Animation 01 Review Call,0.5,
Full Draft 02 Delivery,0.5,
,,
,,
PRODUCTION HOUSE,HOURS,
,242,
Animation 01,170,
Music Composition 01,16,
Sound Design 01,8,
Animation 02,25,
Music Composition 02,2,
Sound Design 02,2,
PH Admin,6,
,,
COMPANY MEETINGS,13,
