,Total Hours,
,81.75,
PLANNING,HOURS,NOTES
,16.75,
Client Pre-KO,0.25,
Research/Prep,0.5,
KO call,1,
Scripting 01 + Verbal Beats,2,
CD Handoffs,1.5,
Beats 01 / Mood Boards ,4,
Story Plan 01 ,0.5,
Story Plan 01 Review Call,0.5,
Scripting 02 + Verbal Beats,2,
Story Plan Meeting 02,,
Beats 02,2,
Story Plan 02,0.5,
Story Plan 02 Review Call,0.5,
Budget + Timeline Meeting ,0.5,
Account Management- Planning,1,
Art Direction - Planning,,
Resource Coordination - Planning,0,
PRE-PRODUCTION,HOURS,
,10.75,
Scripting 03,,
CD Handoffs,2,
Beats 03,,
Style 01,4,
VO Casting,0.25,
Production Plan 01,0.25,
Production Plan 01 Review Call,0.5,
Story Plan 04 Meeting,,
Beats 04,,
Style 02,2,
Production Plan 02,0.25,
Production Plan 02 Review Call ,0.5,
Story Plan 05 Meeting,,
Beats 05,,
Style 03,,
Production Plan 03,,
Production Plan 03 Review Call ,,
Budget + Timeline Meeting ,0.5,
Account Management - PreProduction,0.5,
Art Direction - PreProduction,,
Resource Coordination- PreProduction,0.5,
PRODUCTION,HOURS,
,6.25,
Production Meeting,1,
"""Estimate for Voice Over Cost""",3,
Voiceover,0.25,
Account Management - Production,0.5,
Full Draft 01 Delivery,0.5,
Animation 01 Review Call,0.5,
Full Draft 02 Delivery,0.5,
,,
PRODUCTION HOUSE / COMPANY MEETINGS,HOURS,
,48,
Art Direction - Assets,1,
Art Direction - Animation,1,
Animation 01,32,
Music Composition 01,2,
Sound Design 01,3,
Animation 02,4,
Music Composition 02,1,
Sound Design 02,1,
PH Admin,2,
COMPANY MEETINGS,3,
